,artist_name,artist_id
466,Demi Lovato,517
468,Matuï¿½ï¿½,518
468,Wiu,519
468,,520
473,Luï¿½ï¿½sa Sonza,521
473,MC Frog,522
473,Dj Gabriel do Borel,523
473,Davi K,524
475,teto,525
476,Blackbear,526
476,BoyWithUke,527
477,Pharrell Williams,528
478,Jordan Fisher,529
478,Josh Levi,530
478,Finneas O'Connell,531
478,4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red),532
478,Topher Ngo,533
478,Grayson Vill,534
479,BIGBANG,535
480,Blxst,536
480,Amanda Reifer,537
481,Sampha,538
483,Tony Dize,539
484,Buscabulla,540
485,Taylour Paige,541
486,Sam Dew,542
487,The Marï¿½ï,543
488,Ghostface Killah,544
488,Summer Walker,545
489,Polima WestCoast,546
489,Pailita,547
491,Panic! At The Disco,548
492,Tanna Leone,549
493,PSY,550
494,Benson Boone,551
495,KALUSH,552
496,Luciano,553
497,Shae Gill,554
497,Ali Sethi,555
498,Beth Gibbons,556
500,MNEK,557
501,Ugly Dray,558
501,Tesla Jnr,559
503,Jessi,560
504,Chanel,561
505,Leah Kate,562
506,Sam Ryder,563
507,HA SUNG WOON,564
508,The Goo Goo Dolls,565
509,Kevin Kaarl,566
510,Suki Waterhouse,567
514,Chris Jedi,568
516,Musical Youth,569
517,Villano Antillano,570
519,BYOR,571
519,Imanbek,572
520,347aidan,573
521,Paloma Faith,574
523,Childish Gambino,575
524,Ella Henderson,576
524,Becky Hill,577
526,Sidhu Moose Wala,578
527,Victor Cibrian,579
528,Metallica,580
529,Paloma Mami,581
530,Yung Gravy,582
531,Lasso,583
532,Nayeon,584
533,Schï¿½ï¿½rze,585
533,DJ R,586
535,Guns N' Roses,587
536,Burna Boy,588
537,Cardi B,589
538,L7nnon,590
538,DJ Biel do Furduncinho,591
538,Bianca,592
540,Nessa Barrett,593
541,LF System,594
542,Mc Vitin Da Igrejinha,595
542,MC Tairon,596
542,DJ Win,597
543,Rels B,598
544,DJ Khaled,599
545,Ghost,600
546,Rex Orange County,601
547,Sofia Carson,602
549,Justin Timberlake,603
550,Luis R Conriquez,604
550,La Adictiva,605
551,Black Eyed Peas,606
552,Melody,607
552,Dj Chris No Beat,608
553,Armani White,609
554,Oxlade,610
555,PnB Rock,611
557,Lil Yachty,612
559,Fran C,613
559,Nickoog Clk,614
559,Pablito Pesadilla,615
560,Southstar,616
561,girl in red,617
562,BLACKPINK,618
563,Aitch,619
563,Bï¿½,620
564,MC Ryan SP,621
564,Love Funk,622
564,Mc Paiva ZS,623
566,Ludwig Goransson,624
566,Foudeqush,625
567,Jin,626
568,Selena Gomez,627
